Time,T_Base,T_Shade,T_Glass,T_Vent,T_Combined,T_Outdoor
2023-05-12 00:30:00,46.160032224994545,41.89191253453748,48.5520724069309,35.28687405826387,34.58421864214632,28.5
2023-05-12 01:30:00,46.10581831627763,42.042334340303796,48.62535028372768,34.861115315403424,34.34740512722445,28.86
2023-05-12 02:30:00,46.04721633601642,42.17579141249051,48.690998342652705,34.46995488143214,34.10926743543712,28.59
2023-05-12 03:30:00,45.98662721018099,42.295773993312956,48.74704786360223,34.160542271883024,33.920082961475806,28.69
2023-05-12 04:30:00,45.905855049284796,42.385030886042884,48.778930330072235,33.863365324196344,33.720143705775236,28.53
2023-05-12 05:30:00,45.792647237676015,42.432139467589984,48.77710124763903,33.5329732315839,33.47074985284453,28.15
2023-05-12 06:30:00,45.68599187535969,42.476824554177085,48.76786557948223,33.351862852926594,33.346125763246675,28.78
2023-05-12 07:30:00,45.55943703431254,42.49329347720762,48.73336517915865,33.846622137332794,33.89147766394676,28.78
2023-05-12 08:30:00,45.41364998492012,42.4828072988622,48.67443436007508,34.27846114901236,34.37836788705306,28.77
2023-05-12 09:30:00,45.25301428647949,42.450287203635284,48.594642033197104,34.65732366270037,34.81481044564872,28.83
2023-05-12 10:30:00,45.0789027016014,42.397594786657315,48.49562091424423,34.98858708256293,35.205500487061215,28.88
2023-05-12 11:30:00,44.89598396319426,42.32984478643167,48.38131287957003,35.280134225729995,35.55677752313664,29.0
2023-05-12 12:30:00,44.702468149499424,42.24565537735764,48.25125393302883,35.532872506284654,35.87015777970257,29.03
2023-05-12 13:30:00,44.50615828937583,42.1532038972761,48.11152686310136,35.756927375227654,36.15341100238711,29.21
2023-05-12 14:30:00,44.30689523564724,42.05267522802206,47.96276702615821,35.954173342034046,36.40863953102687,29.35
2023-05-12 15:30:00,44.09471330480923,41.934420457243036,47.79881888061839,36.116447061781884,36.630982451626664,29.2
2023-05-12 16:30:00,43.8834105381602,41.81252977162097,47.62972183775856,36.25915833609167,36.83163440634664,29.35
2023-05-12 17:30:00,47.14357784863555,41.66595407448953,49.09346252979064,39.85434944083603,36.99761053832234,28.93
2023-05-12 18:30:00,48.69459475986921,41.54800697040888,49.77091415423709,41.72271398031332,37.1667266535267,29.8
2023-05-12 19:30:00,48.1707225555101,41.42905936910536,49.4748965877308,41.49970822666058,37.32257549106924,29.74
2023-05-12 20:30:00,47.72856597444462,41.35399737434332,49.237307896245404,39.70337274194908,36.42711228359805,29.67
2023-05-12 21:30:00,47.41415033091533,41.376743475977186,49.110220690281984,38.34720478606757,35.77750846912052,29.55
2023-05-12 22:30:00,47.24055827176864,41.51497963590835,49.1093828866753,37.37275328718116,35.359994567641046,29.54
2023-05-12 23:30:00,47.175119985939986,41.739280425940194,49.205975459112786,36.672111295400455,35.10158754939715,29.48
